=== UDP可靠传输运行日志 ===
[2026-06-13 12:16:03.045] [CLIENT] 客户端启动
[2026-06-13 12:16:03.046] [CLIENT] 发送连接请求
[2026-06-13 12:16:03.050] [CLIENT] 连接建立成功
[2026-06-13 12:16:03.051] [CLIENT] 开始数据传输
[2026-06-13 12:16:03.054] [CLIENT] 发送第1个数据包，字节范围：0~79
[2026-06-13 12:16:03.055] [CLIENT] 发送第2个数据包，字节范围：80~159
[2026-06-13 12:16:03.056] [CLIENT] 发送第3个数据包，字节范围：160~239
[2026-06-13 12:16:03.056] [CLIENT] 发送第4个数据包，字节范围：240~319
[2026-06-13 12:16:03.057] [CLIENT] 发送第5个数据包，字节范围：320~399
[2026-06-13 12:16:03.058] [CLIENT] 收到确认报文，确认号：80，服务器时间：12-16-01
[2026-06-13 12:16:03.059] [CLIENT] 确认第1个数据包，RTT=6.12ms
[2026-06-13 12:16:03.060] [CLIENT] 窗口滑动，新的窗口起始位置：80
[2026-06-13 12:16:03.060] [CLIENT] 发送第6个数据包，字节范围：400~479
[2026-06-13 12:16:03.061] [CLIENT] 收到确认报文，确认号：160，服务器时间：12-16-01
[2026-06-13 12:16:03.061] [CLIENT] 确认第2个数据包，RTT=6.03ms
[2026-06-13 12:16:03.062] [CLIENT] 窗口滑动，新的窗口起始位置：160
[2026-06-13 12:16:03.063] [CLIENT] 发送第7个数据包，字节范围：480~559
[2026-06-13 12:16:03.063] [CLIENT] 收到确认报文，确认号：160，服务器时间：12-16-01
[2026-06-13 12:16:03.064] [CLIENT] 收到确认报文，确认号：160，服务器时间：12-16-01
[2026-06-13 12:16:03.065] [CLIENT] 收到确认报文，确认号：160，服务器时间：12-16-01
[2026-06-13 12:16:03.065] [CLIENT] 收到确认报文，确认号：160，服务器时间：12-16-01
[2026-06-13 12:16:03.377] [CLIENT] 超时事件发生，开始重传
[2026-06-13 12:16:03.377] [CLIENT] 重传第3个数据包，字节范围：160~239
[2026-06-13 12:16:03.378] [CLIENT] 重传第4个数据包，字节范围：240~319
[2026-06-13 12:16:03.380] [CLIENT] 重传第5个数据包，字节范围：320~399
[2026-06-13 12:16:03.381] [CLIENT] 重传第6个数据包，字节范围：400~479
[2026-06-13 12:16:03.382] [CLIENT] 重传第7个数据包，字节范围：480~559
[2026-06-13 12:16:03.382] [CLIENT] 收到确认报文，确认号：240，服务器时间：12-16-02
[2026-06-13 12:16:03.383] [CLIENT] 确认第3个数据包，RTT=4.89ms
[2026-06-13 12:16:03.383] [CLIENT] 窗口滑动，新的窗口起始位置：240
[2026-06-13 12:16:03.384] [CLIENT] 发送第8个数据包，字节范围：560~639
[2026-06-13 12:16:03.385] [CLIENT] 收到确认报文，确认号：320，服务器时间：12-16-02
[2026-06-13 12:16:03.386] [CLIENT] 确认第4个数据包，RTT=6.84ms
[2026-06-13 12:16:03.386] [CLIENT] 窗口滑动，新的窗口起始位置：320
[2026-06-13 12:16:03.387] [CLIENT] 发送第9个数据包，字节范围：640~719
[2026-06-13 12:16:03.388] [CLIENT] 收到确认报文，确认号：400，服务器时间：12-16-02
[2026-06-13 12:16:03.389] [CLIENT] 确认第5个数据包，RTT=8.53ms
[2026-06-13 12:16:03.390] [CLIENT] 窗口滑动，新的窗口起始位置：400
[2026-06-13 12:16:03.400] [CLIENT] 发送第10个数据包，字节范围：720~799
[2026-06-13 12:16:03.400] [CLIENT] 收到确认报文，确认号：480，服务器时间：12-16-02
[2026-06-13 12:16:03.403] [CLIENT] 确认第6个数据包，RTT=20.21ms
[2026-06-13 12:16:03.404] [CLIENT] 窗口滑动，新的窗口起始位置：480
